gameId,gameType,seasonId,gameVersion,mapId,gameMode,team100_ban_1,team100_ban_2,team100_ban_3,team100_ban_4,team100_ban_5,team200_ban_6,team200_ban_7,team200_ban_8,team200_ban_9,team200_ban_10,teamId_participant0,championId_participant0,spell1Id_participant0,spell2Id_participant0,role_participant0,lane_participant0,perk0_participant0,perk1_participant0,perk2_participant0,perk3_participant0,perk4_participant0,perkPrimaryStyle_participant0,perkSubStyle_participant0,statPerk0_participant0,statPerk1_participant0,statPerk2_participant0,teamId_participant1,championId_participant1,spell1Id_participant1,spell2Id_participant1,role_participant1,lane_participant1,perk0_participant1,perk1_participant1,perk2_participant1,perk3_participant1,perk4_participant1,perkPrimaryStyle_participant1,perkSubStyle_participant1,statPerk0_participant1,statPerk1_participant1,statPerk2_participant1,teamId_participant2,championId_participant2,spell1Id_participant2,spell2Id_participant2,role_participant2,lane_participant2,perk0_participant2,perk1_participant2,perk2_participant2,perk3_participant2,perk4_participant2,perkPrimaryStyle_participant2,perkSubStyle_participant2,statPerk0_participant2,statPerk1_participant2,statPerk2_participant2,teamId_participant3,championId_participant3,spell1Id_participant3,spell2Id_participant3,role_participant3,lane_participant3,perk0_participant3,perk1_participant3,perk2_participant3,perk3_participant3,perk4_participant3,perkPrimaryStyle_participant3,perkSubStyle_participant3,statPerk0_participant3,statPerk1_participant3,statPerk2_participant3,teamId_participant4,championId_participant4,spell1Id_participant4,spell2Id_participant4,role_participant4,lane_participant4,perk0_participant4,perk1_participant4,perk2_participant4,perk3_participant4,perk4_participant4,perkPrimaryStyle_participant4,perkSubStyle_participant4,statPerk0_participant4,statPerk1_participant4,statPerk2_participant4,teamId_participant5,championId_participant5,spell1Id_participant5,spell2Id_participant5,role_participant5,lane_participant5,perk0_participant5,perk1_participant5,perk2_participant5,perk3_participant5,perk4_participant5,perkPrimaryStyle_participant5,perkSubStyle_participant5,statPerk0_participant5,statPerk1_participant5,statPerk2_participant5,teamId_participant6,championId_participant6,spell1Id_participant6,spell2Id_participant6,role_participant6,lane_participant6,perk0_participant6,perk1_participant6,perk2_participant6,perk3_participant6,perk4_participant6,perkPrimaryStyle_participant6,perkSubStyle_participant6,statPerk0_participant6,statPerk1_participant6,statPerk2_participant6,teamId_participant7,championId_participant7,spell1Id_participant7,spell2Id_participant7,role_participant7,lane_participant7,perk0_participant7,perk1_participant7,perk2_participant7,perk3_participant7,perk4_participant7,perkPrimaryStyle_participant7,perkSubStyle_participant7,statPerk0_participant7,statPerk1_participant7,statPerk2_participant7,teamId_participant8,championId_participant8,spell1Id_participant8,spell2Id_participant8,role_participant8,lane_participant8,perk0_participant8,perk1_participant8,perk2_participant8,perk3_participant8,perk4_participant8,perkPrimaryStyle_participant8,perkSubStyle_participant8,statPerk0_participant8,statPerk1_participant8,statPerk2_participant8,teamId_participant9,championId_participant9,spell1Id_participant9,spell2Id_participant9,role_participant9,lane_participant9,perk0_participant9,perk1_participant9,perk2_participant9,perk3_participant9,perk4_participant9,perkPrimaryStyle_participant9,perkSubStyle_participant9,statPerk0_participant9,statPerk1_participant9,statPerk2_participant9,win
5030880353,MATCHED_GAME,13,11.1.352.5559,11,CLASSIC,360.0,131.0,141.0,25.0,84.0,92.0,350.0,120.0,28.0,53.0,100,238,4,14,,,8112,8143,8138,8106,9111,8100,8000,5008,5008,5002,100,122,6,4,,,8010,9111,9104,8299,8275,8000,8200,5005,5008,5002,100,11,4,11,,,9923,8143,8138,8135,9111,8100,8000,5005,5008,5002,100,133,7,4,,,8005,9101,9104,8014,8275,8000,8200,5008,5008,5002,100,875,4,14,,,8230,8275,8234,8236,8444,8200,8400,5005,5008,5003,200,33,11,4,,,8439,8446,8429,8242,9111,8400,8000,5005,5003,5002,200,266,4,12,,,8010,9111,9103,8299,8453,8000,8400,5008,5008,5002,200,18,4,7,,,9923,8139,8138,8135,8009,8100,8000,5005,5003,5003,200,55,14,4,,,8128,8143,8138,8135,9111,8100,8000,5008,5008,5002,200,40,4,14,,,8214,8226,8233,8236,8138,8200,8100,5008,5003,5002,0
5030907800,MATCHED_GAME,13,11.1.352.5559,11,CLASSIC,11.0,147.0,420.0,555.0,777.0,350.0,526.0,105.0,28.0,89.0,100,235,4,3,,,8351,8313,8345,8410,9104,8300,8000,5005,5008,5002,100,145,7,4,,,9923,8139,8138,8135,8009,8100,8000,5005,5008,5002,100,6,12,4,,,8005,9111,9105,8299,8304,8000,8300,5008,5008,5002,100,54,4,11,,,8229,8226,8210,8236,8429,8200,8400,5005,5002,5002,100,84,4,14,,,8112,8139,8138,8135,8014,8100,8000,5008,5008,5003,200,236,4,12,,,8005,8009,9104,8014,8139,8000,8100,5005,5008,5002,200,111,14,4,,,8439,8401,8473,8453,8347,8400,8300,5007,5002,5002,200,202,7,4,,,8128,8139,8138,8135,8009,8100,8000,5008,5008,5002,200,55,14,4,,,8128,8143,8138,8135,9111,8100,8000,5008,5008,5002,200,64,4,11,,,8010,9111,9105,8299,8304,8000,8300,5005,5008,5002,0
5030866370,MATCHED_GAME,13,11.1.352.5559,11,CLASSIC,89.0,81.0,25.0,18.0,82.0,28.0,350.0,141.0,89.0,-1.0,100,29,14,4,,,9923,8139,8138,8135,8236,8100,8200,5008,5008,5002,100,99,14,4,,,8229,8226,8210,8237,8009,8200,8000,5008,5008,5002,100,236,4,7,,,8005,8009,9103,8014,8139,8000,8100,5005,5008,5002,100,19,4,11,,,8128,8143,8138,8105,8234,8100,8200,5005,5008,5002,100,142,4,14,,,8112,8139,8138,8135,8345,8100,8300,5008,5002,5002,200,420,4,12,,,8010,8009,9105,8299,8139,8000,8100,5008,5008,5002,200,147,14,4,,,8229,8226,8210,8237,8009,8200,8000,5008,5008,5002,200,51,7,4,,,8021,9111,9104,8014,8233,8000,8200,5005,5008,5002,200,55,14,4,,,8128,8143,8138,8135,9111,8100,8000,5008,5008,5002,200,121,4,11,,,8112,8143,8138,8135,8233,8100,8200,5008,5008,5002,0
5030912328,MATCHED_GAME,13,11.1.352.5559,11,CLASSIC,28.0,238.0,350.0,98.0,9.0,164.0,54.0,350.0,28.0,875.0,100,143,4,3,,,8229,8226,8210,8237,8126,8200,8100,5008,5008,5002,100,60,4,11,,,8112,8126,8138,8105,8275,8100,8200,5005,5008,5002,100,81,4,7,,,8010,8009,9103,8014,8226,8000,8200,5008,5008,5002,100,17,4,14,,,8214,8226,8234,8237,8135,8200,8100,5005,5008,5002,100,39,14,4,,,8010,9111,9104,8299,8345,8000,8300,5005,5008,5001,200,55,14,4,,,8128,8143,8138,8135,9111,8100,8000,5008,5008,5002,200,25,4,14,,,8229,8226,8210,8237,8347,8200,8300,5007,5008,5002,200,23,4,6,,,8008,9111,9105,8299,8444,8000,8400,5005,5008,5003,200,154,4,11,,,8010,9111,9105,8299,8444,8000,8400,5007,5003,5003,200,145,4,1,,,9923,8143,8138,8106,8210,8100,8200,5005,5008,5002,0
5030831079,MATCHED_GAME,13,11.1.352.5559,11,CLASSIC,238.0,777.0,17.0,51.0,157.0,20.0,555.0,266.0,350.0,28.0,100,105,4,14,,,8112,8143,8138,8106,8226,8100,8200,5007,5008,5001,100,98,4,11,,,8005,9111,9105,8014,8143,8000,8100,5005,5008,5002,100,360,7,4,,,8010,9111,9103,8014,8226,8000,8200,5005,5008,5002,100,201,4,3,,,8465,8463,8473,8451,8304,8400,8300,5008,5002,5001,100,82,12,4,,,8010,9111,9105,8299,8401,8000,8400,5005,5008,5002,200,55,4,14,,,8010,9111,9105,8014,8143,8000,8100,5008,5008,5003,200,121,11,4,,,8010,9111,9105,8014,8143,8000,8100,5008,5008,5002,200,114,12,4,,,8010,9111,9104,8014,8473,8000,8400,5005,5008,5002,200,81,4,7,,,8010,9111,9104,8014,8304,8000,8300,5005,5008,5002,200,89,4,3,,,8439,8463,8429,8451,8210,8400,8200,5007,5002,5002,1
5030757010,MATCHED_GAME,13,11.1.352.5559,11,CLASSIC,120.0,98.0,143.0,63.0,67.0,63.0,267.0,17.0,141.0,28.0,100,266,12,4,,,8010,9111,9104,8299,8139,8000,8100,5008,5008,5002,100,498,4,7,,,8008,8009,9103,8014,8139,8000,8100,5005,5008,5002,100,412,4,14,,,8439,8463,8473,8451,8347,8400,8300,5007,5002,5001,100,59,4,11,,,8010,9111,9104,8014,8143,8000,8100,5005,5008,5002,100,105,4,14,,,8112,8143,8138,8106,8275,8100,8200,5008,5008,5002,200,21,4,7,,,8229,8226,8233,8237,8126,8200,8100,5005,5008,5002,200,432,4,14,,,8465,8463,8473,8242,8136,8400,8100,5005,5002,5003,200,517,4,14,,,8021,8009,9105,8299,8345,8000,8300,5008,5008,5003,200,107,11,4,,,8010,9111,9103,8014,8143,8000,8100,5005,5008,5002,200,2,12,4,,,8010,9111,9104,8299,8345,8000,8300,5005,5008,5002,1
5029245693,MATCHED_GAME,13,11.1.352.5559,11,CLASSIC,81.0,-1.0,20.0,121.0,80.0,120.0,104.0,238.0,67.0,164.0,100,350,3,14,,,8214,8226,8210,8237,8009,8200,8000,5008,5008,5001,100,107,12,4,,,8010,9111,9103,8299,8473,8000,8400,5005,5008,5002,100,26,12,4,,,8214,8226,8210,8236,8106,8200,8100,5007,5008,5001,100,2,11,4,,,8010,9111,9104,8299,8232,8000,8200,5008,5008,5002,100,875,4,12,,,8010,9111,9105,8299,8444,8000,8400,5005,5008,5002,200,432,4,14,,,8465,8463,8444,8453,8126,8400,8100,5008,5008,5003,200,202,4,7,,,8128,8139,8138,8135,8275,8100,8200,5008,5008,5002,200,98,14,4,,,8437,8401,8429,8453,8106,8400,8100,5008,5008,5002,200,35,11,14,,,8112,8143,8138,8105,8233,8100,8200,5005,5008,5001,200,161,21,4,,,8229,8224,8210,8237,8304,8200,8300,5007,5008,5001,0
5029131041,MATCHED_GAME,13,11.1.352.5559,11,CLASSIC,51.0,777.0,157.0,-1.0,-1.0,34.0,876.0,427.0,350.0,28.0,100,29,4,1,,,9923,8139,8138,8135,8009,8100,8000,5005,5008,5002,100,64,4,11,,,8010,9111,9104,8014,8304,8000,8300,5005,5008,5002,100,432,4,14,,,8465,8446,8473,8242,8134,8400,8100,5005,5002,5002,100,106,12,4,,,8437,8446,8429,8451,9105,8400,8000,5005,5002,5002,100,54,14,4,,,8229,8226,8210,8237,8106,8200,8100,5008,5008,5002,200,107,12,4,,,8010,9111,9103,8299,8473,8000,8400,5005,5008,5002,200,104,11,4,,,8230,8275,8233,8232,9111,8200,8000,5005,5008,5002,200,89,14,4,,,8439,8463,8473,8451,8345,8400,8300,5008,5002,5002,200,145,3,4,,,9923,8139,8138,8135,8014,8100,8000,5005,5008,5002,200,39,14,4,,,8010,9111,9104,8014,8345,8000,8300,5005,5008,5002,0
5028980374,MATCHED_GAME,13,11.1.352.5559,11,CLASSIC,25.0,81.0,238.0,777.0,122.0,28.0,350.0,24.0,202.0,1.0,100,53,14,4,,,8439,8446,8444,8451,8345,8400,8300,5007,5002,5001,100,523,4,7,,,8005,9111,9104,8299,8139,8000,8100,5005,5008,5002,100,90,4,14,,,8214,8226,8210,8236,8313,8200,8300,5008,5008,5002,100,78,4,11,,,8112,8143,8138,8135,8014,8100,8000,5008,5008,5002,100,6,4,12,,,8005,9111,9105,8299,8429,8000,8400,5008,5002,5002,200,12,4,14,,,8439,8446,8429,8451,8345,8400,8300,5007,5002,5002,200,107,11,4,,,8010,9111,9103,8014,8143,8000,8100,5005,5008,5002,200,114,12,4,,,8010,9111,9104,8014,8446,8000,8400,5005,5008,5002,200,498,4,7,,,8008,9111,9103,8014,8275,8000,8200,5005,5008,5002,200,31,4,14,,,8229,8275,8233,8237,8126,8200,8100,5008,5008,5003,0
5029019220,MATCHED_GAME,13,11.1.352.5559,11,CLASSIC,202.0,360.0,28.0,55.0,114.0,28.0,121.0,17.0,202.0,517.0,100,11,4,11,,,8010,9111,9104,8014,8135,8000,8100,5005,5008,5002,100,236,4,7,,,8005,9111,9104,8014,8143,8000,8100,5008,5002,5002,100,875,4,14,,,8112,8139,8138,8105,8210,8100,8200,5007,5003,5003,100,86,12,4,,,8010,9111,9105,8299,8451,8000,8400,5005,5002,5002,100,38,12,4,,,8021,8009,9105,8014,8139,8000,8100,5008,5002,5002,200,80,4,14,,,8005,9111,9105,8014,8105,8000,8100,5008,5008,5003,200,107,11,4,,,8010,9111,9103,8014,8143,8000,8100,5005,5008,5002,200,2,12,4,,,8010,9111,9104,8299,8345,8000,8300,5005,5008,5002,200,498,4,7,,,8008,9111,9103,8014,8275,8000,8200,5005,5008,5002,200,516,4,12,,,8437,8446,8473,8451,8345,8400,8300,5007,5002,5002,0
